,Country,Anthem,cluster,cluster_names
90,Afghanistan,"this land is afghanistan - it is the pride of every afghan   the land of peace, the land of the sword - its sons are all brave    this is the country of every tribe - land of baluch, and uzbeks  pashtoons, and hazaras - turkman and tajiks with them,  arabs and gojars, pamirian, nooristanis barahawi, and qizilbash - also aimaq, and pashaye    this land will shine for ever - like the sun in the blue sky  in the chest of asia - it will remain as the heart for ever    we will follow the one god - we all say, allah is great, we all say, allah is great ",1,O Motherly Nature
91,Bahrain,"our bahrain, our king (is) the symbol of harmony. its constitution is high in the place and the position its charter represents the way of shari'a, arabism and the values long live the kingdom of bahrain! (this is the) country of nobles (and) cradle of peace. its constitution is high in the place and the position its charter represents the way of shari'a, arabism and the values long live the kingdom of bahrain!",2,A Child’s Voice
92,Bangladesh,"my golden bengal, i love thee. forever thy skies, thy air set my heart in tune as if it were a flute, o mother! the aroma of the mango orchard in falgun drives me crazy, ah, what a thrill! o mother! in ogrohayon time sees sweet smiles all through mature fields of paddy. what beauty, what shades, what affection, what tenderness! what a quilt have thee spread at the feet of banyan trees and along the bank of every river, oh mother mine, words from thy lips are like nectar to my ears. ah, what a thrill! if sadness, o mother! casts a gloom on your face, my eyes are filled with tears! spending my childhood in your playhouse your dirt and soil smeared all over my body, i consider myself privileged. the wonderful lamp you light up at dusk, ah, what a thrill! i quit play and sprint back to your lap at once, o mother! in the cattle grazing field, on the pier for crossing stream, shaded village walkways, serene with calling birds, open porch with heaped ripe paddy my life goes on. ah, what a thrill! all your shepherds and farmers are my brothers. this time i offer my head beneath your feet, bless me with your dust, i shall be obliged to flaunt overhead. i shall offer you meagrely whatever i have at home, ah, what a thrill! never bother to buy you, from others, a hanging rope disguised as a crown.",2,A Child’s Voice
93,Bhutan,"in the kingdom of bhutan adorned with cypress trees, the protector who reigns over the realm of spiritual and secular traditions, he is the king of bhutan, the precious sovereign. may his being remain unchanging, and the kingdom prosper, may the teachings of the enlightened one flourish, may the sun of peace and happiness shine over all people.",0,Echoes of Sacred Freedom
94,Brunei,"o divine one, a long life consign upon his majesty our king, fine help him rule thy dominion wise the gates to eternal joy he shall prise serene be both country and sultan god save our land brunei darussalam",3,Glorious Homeland
95,Cambodia,"heaven protects our king and gives him happiness and glory to reign over our souls and our destinies, the one being, heir of the sovereign builders, guiding the proud old kingdom. temples are asleep in the forest, remembering the splendour of moha nokor. like a rock the khamer race is eternal. let us trust in the fate of campuchea, the empire which challenges the ages. songs rise up from the pagodas to the glory of holy buddhistic faith. let us be faithful to our ancestors' belief. thus heaven will lavish its bounty towards the ancient khmer country, the moha nokor. ",0,Echoes of Sacred Freedom
96,China,"arise, ye who refuse to be slaves; with our very flesh and blood let us build our new great wall! the peoples of china are in the most critical time, everybody must roar his defiance. arise! arise! arise! millions of hearts with one mind, brave the enemy's gunfire, march on! brave the enemy's gunfire, march on! march on! march on, on!",0,Echoes of Sacred Freedom
97,India,"thou art the ruler of the minds of all people, dispenser of india's destiny. thy name rouses the hearts of punjab, sindh,  gujarat and maratha, of the dravida and odisha and bengal; it echoes in the hills of vindhya and the himalayas, mingles in the music of ganga and yamuna and is chanted by the waves of the indian sea. they pray for thy blessings and sing thy praise. the saving of all people waits in thy hand, thou dispenser of india's destiny. victory, victory, victory to thee",3,Glorious Homeland
98,Indonesia,"indonesia, cherished land! 'tis for thee our blood is shed, on guard for thee we stand, this land fore'er to be led. indonesians, our people! each other we do uphold, in declaration wholesale: to each other be true! let her people, her land, let her mighty peaks and prodigious sands, in body, in spirit, let them all arise, for indonesia the great! indonesia the great, be free, be free! these isles of ours beloved dearly! indonesia the great, be free, be free, for indonesia the great! indonesia, land sublime, fore'er bountiful and free, where our roots we shall plant, for millenia to stand indonesia, land of inheritance, entrusted to us all, for one thing we all ask, strengthened, our esperance! fertile are her fields, holy her soul from sabang to merauke, hear the call! with hearts awakened, with goodwill served, for indonesia the great! indonesia the great indonesia, land so pure, a land mighty with resolve, to thee we pledge allegiance, only thee to love! indonesia, resplendent land, patriot love in us command, foremost in our hearts and minds, indonesia, fore'er to stand! may her people, her land, may her peaks and her sands, from sea to seas, in peace be, may they all then advance, may they all then commence, for indonesia the great! indonesia the great",1,O Motherly Nature
99,Iran,"upwards on the horizon rises the eastern sun, the light in the eyes of the believers in justice, bahman is the zenith of our faith. your message, o imam, of independence, freedom, is imprinted on our souls. o martyrs! your clamours echo in the ears of time. enduring, continuing, and eternal. the islamic republic of iran!",0,Echoes of Sacred Freedom
100,Iraq,"my homeland, my homeland, glory and beauty, sublimity and splendor are in your hills, are in your hills. life and deliverance, pleasure and hope are in your air, are in your air. will i see you, will i see you? safely comforted and victoriously honoured. safely comforted and victoriously honoured. will i see you in your eminence? reaching to the stars, reaching to the stars my homeland, my homeland. my homeland, my homeland, the youth will not tire, 'till your independence or they die, or they die. we will drink from death, and will not be to our enemies like slaves, like slaves. we do not want, we do not want an eternal humiliation, nor a miserable life. an eternal humiliation, nor a miserable life. we do not want, but we will bring back our storied glory, our storied glory. my homeland, my homeland. i my homeland, my homeland, the sword and the pen, not the talk nor the quarrel are our symbols, are our symbols. our glory and our covenant, and a faithful duty moves us, moves us. our glory, our glory, is an honourable cause, and a waving flag. is an honourable cause, and a waving flag. o, behold you, in your eminence, victorious over your enemies, victorious over your enemies. my homeland, my homeland!",3,Glorious Homeland
101,Israel,"as long as in the heart, within, a jewish soul still yearns, and onward, towards the ends of the east, an eye still gazes toward zion; our hope is not yet lost, the hope two thousand years old, to be a free nation in our land, the land of zion and jerusalem.",1,O Motherly Nature
102,Japan,"may your reign continue for a thousand, eight thousand generations, until the tiny pebbles grow into massive boulders lush with moss",2,A Child’s Voice
103,Jordan,"long live the king! long live the king! his position sublime, his banners waving in glory supreme. we achieved our goal, on the day you revived for us, a revolution gives us our motivation! flying over the shoulders of the highest comets. o king of arabs, from the best prophet you have. the honour of dynasty, talked about in the depths of books! all the youthful men, are your armed armies his determination never dies out! getting from your meaning a symbol of well-being![a] may you stay the light and the guide, a master in being away of all sins and wrong-doing, living your life happily and well-respected! under your flying flag rests the glory of all arabs.",2,A Child’s Voice
104,Kazakhstan,"sky of golden sun, steppe of golden seed, legend of courage - take a look at my country! from the antiquity our heroic glory emerged, they did not give up their pride my kazakh people are strong! my country, my country, as your flower i will be planted, as your song i will stream, my country! my native land – my kazakhstan! the way was opened to the posterity i have a vast land. its unity is proper, i have an independent country. it welcomed the time like an eternal friend, our country is happy, such is our country.",1,O Motherly Nature
105,Kuwait,"kuwait, my country, may you be safe and glorious! may you always enjoy good fortune! you are the cradle of my ancestors, who put down its memory. with everlasting symmetry, showing all eternity, those arabs were heavenly, kuwait, my country, may you be safe and glorious! may you always enjoy good fortune. blessed be my country a homeland for harmony, warded by true sentry giving their soils aptly, building high its history, kuwait, my country, we're for you my country, led by faith and loyalty, with its amir equally, fencing us all fairly, with warm love and verity, kuwait, my country, may you be safe and glorious. may you always enjoy good fortune!",3,Glorious Homeland
106,Kyrgyzstan,"white-capped rocky cliffs and steppes are equal to the soul of our people. for countless centuries, our fathers have lived in and kept the ala-too. march forward, kyrgyz people, on the way to freedom! prosperity and progress, your own fate is in your hands! long ago, our friendly people completed and gave us the clasp to nature. we acquired an accord of harmony and peace over the kyrgyz land. chorus our hopes and aspirations have been fulfilled, our people wave the flag of freedom. the tradition of our fathers came to us, let generations keep our holy heritage.",1,O Motherly Nature
107,Laos,"for all time, the lao people have glorified their fatherland, united in heart, spirit and vigor as one. resolutely moving forwards, respecting and increasing the dignity of the lao people and proclaiming the right to be their own masters. the lao people of all origins are equal and will no longer allow imperialists and traitors to harm them. the entire people will safeguard the independence and the freedom of the lao nation. they are resolved to struggle for victory in order to lead the nation to prosperity.",1,O Motherly Nature
108,Lebanon,"all of us! for our country, for our glory and flag! our valor and our writings are the envy of the ages. our mountain and our valley, they bring forth stalwart men. and to perfection we devote our words and labor. all of us! for our country, for our glory and flag! all of us! for our country our elders and our children, they await our country's call, and on the day of crisis they are as lions of the jungle. the heart of our east is ever lebanon, god has preserved him until the end of time. all of us! for our country, for our glory and flag! all of us! for our country the gems of the east are his land and sea. throughout the world his good deeds flow from pole to pole. and his name is his glory since time began. the cedars are his pride, his immortality's symbol. all of us! for our country, for our glory and flag! all of us! for our country",1,O Motherly Nature
109,Macau,"arise, ye who refuse to be slaves; with our very flesh and blood let us build our new great wall! the peoples of china are in the most critical time, everybody must roar his defiance. arise! arise! arise! millions of hearts with one mind, brave the enemy's gunfire, march on! brave the enemy's gunfire, march on! march on! march on, on!",0,Echoes of Sacred Freedom
110,Malaysia,my motherland the land where my blood has spilt where the people live united and progressive with god given blessings of happiness may our king reign in peace with god given blessings of happiness may our king reign in peace,0,Echoes of Sacred Freedom
111,Maldives,"we salute you, o homeland, in unity with an abundance with well-wishes in our very own tongue bowing our heads to your crescent moon and star we salute the mighty red, white and green; victory and good fortune be its alone with our bright colours streaming in the air, we hail our buoyant flag. to those heroes who sought out honour and pride for the nation we give salute today in auspicious verses of remembrance. may there be fame and good weal for maldivia land and maldivians' name become grand we wish for their freedom and progress in this world and for their freedom from sorrows, and thus we salute. with full respect and heartfelt blessing towards religion and our leaders, we salute you in uprightness and truth. may the state ever have auspicious honour and respect. with good wishes for your continuing might, we salute you.",0,Echoes of Sacred Freedom
112,Mongolia,"our sacred independent country is the ancestral hearth of all mongols, may all of the world's good deeds will prosper and continue for eternity. our country will strengthen relations with all righteous countries of the world. and let us develop our beloved mongolia with all our will and might. our great nation's symbol blesses us and the people's fate supports us let us pass on our ancestry, culture and language from generation to generation. the brilliant people of the brave mongolia have gained freedom and happiness, the key to delight, and the path to progress. majestic mongolia — our country, live forever.",3,Glorious Homeland
113,Myanmar,"accompanied with justice and freedom; our nation, our motherland. to bring peace to all people; the nation having equal right and pure policy, our nation, our motherland. let us preserve with vow for perpetuity of our heritage of the union. as long as the world exists, we love myanmar, the true heritage of our ancestors. we shall safeguard the union by sacrificing our lives. this is our nation, our motherland and our own land. let us serve unitedly for the interest of our nation, our motherland. that is our duty for the precious land.",0,Echoes of Sacred Freedom
114,Nepal,"woven from hundreds of flowers, we are one garland that's nepali spread sovereign from mechi to mahakali. a shawl of nature's wealth unending from the blood of the braves, a nation free and non-moving. a land of knowledge, of peace, the plains, hills and mountains tall indivisible, this beloved land of ours, our motherland nepal. of many races, languages, religions, and cultures of incredible sprawl this progressive nation of ours, all hail nepal!",1,O Motherly Nature
115,North Korea,"let morning shine on the silver and gold of this land, three thousand leagues packed with natural wealth. my beautiful fatherland. the glory of a wise people brought up in a culture brilliant with a history five millennia long. let us devote our bodies and minds to supporting this korea forever. the firm will, bonded with truth, nest for the spirit of labour, embracing the atmosphere of mount paektu, will go forth to all the world. the country established by the will of the people, breasting the raging waves with soaring strength. let us glorify forever this korea, limitlessly rich and strong. ",1,O Motherly Nature
116,Oman,"o lord, protect for us his majesty the sultan and the people in our land with honor and peace. may he live long, strong and supported, glorified be his leadership. welling to protect him by our soles. o oman, since the time of the prophet we are a dedicated people amongst the noblest arabs. be happy! qaboos has come may the heaven bless him be cheerful and commend him to the protection of our prayers.",3,Glorious Homeland
117,Pakistan,"blessed be the sacred land, happy be the bounteous realm. thou symbol of high resolve, o land of pakistan! blessed be the citadel of faith. the order of this sacred land, the might of the brotherhood of the people, may the nation, the country, and the state, shine in glory everlasting! blessed be the goal of our ambition. the flag of the crescent and star, leads the way to progress and perfection, interpreter of our past, glory of our present, inspiration for our future! shade of god, the glorious and mighty.",3,Glorious Homeland
118,Palestine,"warrior, warrior, warrior, oh my land, the land of the ancestors warrior, warrior, warrior, oh my people, people of eternity with my determination, my fire and the volcano of my vendetta with the longing in my blood for my land and my home i have climbed the mountains and fought the wars i have conquered the impossible, and crossed the frontiers with the resolve of the winds and the fire of the weapons and the determination of my nation in the land of struggle palestine is my home, and the path of my triumphal (palestine is my home, palestine is my fire,) palestine is my vendetta and the land of withstanding by the oath under the shade of the flag by my land and nation, and the fire of pain i will live as a warrior, i will remain a warrior, i will die as a warrior - until my country returns warrior",3,Glorious Homeland
119,Philippines,"land of the morning child of the sun returning with fervor burning thee do our souls adore. land dear and holy, cradle of noble heroes, ne’er shall invaders trample thy sacred shores. ever within thy skies and through thy clouds and o’er thy hills and seas; do we behold thy radiance, feel the throb of glorious liberty. thy banner dear to all hearts its sun and stars alight, oh, never shall its shining fields be dimmed by tyrants might. beautiful land of love, oh land of light, in thine embrace ’tis rapture to lie; but it is glory ever when thou art wronged for us thy sons to suffer and die.",3,Glorious Homeland
120,Qatar,"i swear, i swear swearing by the one who raised the sky  swearing by the one who spread the light qatar will always be free by the spirit of the loyal travel the high road travel by the guiding light of the prophets in my heart, qatar is a way that respects the achievements of our forefathers qatar is the land of the foremost men who protect us in time of distress, doves they can be at times of peace, warriors they are at times of sacrifice i swear, i swear swearing by the one who raised the sky  swearing by the one who spread the light qatar will always be free by the spirit of the loyal",0,Echoes of Sacred Freedom
121,Saudi Arabia,"hasten to glory and supremacy, glorify the creator of the heavens! and raise the green flag carrying the written light reflecting guidance, repeat: god is the greatest! o my country! my country, live as the pride of muslims! long live the king for the flag and the homeland!",3,Glorious Homeland
122,Singapore,"come, fellow singaporeans let us progress towards happiness together may our noble aspiration bring singapore success come, let us unite in a new spirit let our voices soar as one onward singapore onward singapore come, let us unite in a new spirit let our voices soar as one onward singapore onward singapore",2,A Child’s Voice
123,South Korea,"until the day when the east sea's waters and mt. baekdu are dry and worn away, god protect and preserve us. long live our nation!   three thousand li of splendid rivers and mountains, filled with roses of sharon; great korean people, stay true to the great korean way.   the pine tree atop foremountain stands firmly unchanged under wind and frost as if wrapped in armour, as is our resilient spirit.   three thousand li of splendid rivers and mountains, filled with roses of sharon; great korean people, stay true to the great korean way.   autumn sky is void and vast, high and cloudless, the bright moon is our heart, undivided and true.   three thousand li of splendid rivers and mountains, filled with roses of sharon; great korean people, stay true to the great korean way.   with this spirit and this mind, give all loyalty, in suffering or in joy, love the country.   three thousand li of splendid rivers and mountains, filled with roses of sharon; great korean people, stay true to the great korean way. https://lyricstranslate.com",0,Echoes of Sacred Freedom
124,Sri Lanka,"thou mother lanka, oh mother lanka we salute, salute, salute, salute thee! plenteous in prosperity, thou, beauteous in grace and love, laden with grain and luscious fruit, and fragrant flowers of radiant hue, giver of life and all good things, our land of joy and victory, receive our grateful praise sublime, we worship, worship thee. oh mother lanka! we salute, salute, salute, salute thee! thou gavest us knowledge and truth, thou art our strength and inward faith, our light divine and sentient being, breath of life and liberation. grant us, bondage free, inspiration. inspire us for ever. in wisdom and strength renewed, ill-will, hatred, strife all ended, in love enfolded, a mighty nation marching onward, all as one, lead us, mother, to fullest freedom, we worship, worship thee oh mother lanka! we salute, salute, salute, salute thee!",3,Glorious Homeland
125,Syria,"guardians of the homeland, upon you be peace, our proud spirits refuse to be humiliated. the den of arabism is a sacred sanctuary, and the throne of the suns is a preserve that will not be subjugated. the quarters of levant are towers in height, which are in dialogue with the zenith of the skies. a land resplendent with brilliant suns, becoming another sky or almost a sky. the flutter of hopes and the beat of the heart, are on a flag that united the entire country. is there not blackness from every eye, and ink from every martyr's blood? our spirits are defiant and our history is glorious, and our martyrs' souls are formidable guardians. from us is al-wal?d, and from us is al-rash?d. so why then shall we not lead, why then shall we not rise?",3,Glorious Homeland
126,Tajikistan,"our beloved country, we are happy to see your pride. let your happiness and prosperity be forever. we have reached this day since ancient times, we stand under your flag, under your flag.   long live my homeland, my free tajikistan!   you are a symbol of our ancestors' hope our honour and dignity, you are an eternal world for your sons, your spring will never end, we remain loyal to you, loyal to you.   long live my homeland, my free tajikistan!   you are a mother for all of us, your future is our future, your meaning is the meaning of our souls and bodies, you give us happiness forever, because of you, we love the world, love the world.   long live my homeland, my free tajikistan!",3,Glorious Homeland
127,Thailand,"thailand unites the flesh and blood of thais. the land of thailand belongs to the thais. long has been our independence, wish sovereignty allowed to maintain it, because thais have been united forever. the thais are peaceful and loving, but are not cowards in war. our sovereignty will never be threatened, we will sacrifice every drop of our blood for our nation. we are ready to die for freedom, security, and prosperity!",1,O Motherly Nature
128,Turkey,"fear not! for the crimson flag that proudly ripples in this glorious twilight, shall not fade, before the last fiery hearth that is ablaze within my nation is extinguished. for that is the star of my nation, and it will forever shine; it is mine; and solely belongs to my valiant nation.frown not, i beseech you, oh thou coy crescent, but smile upon my heroic race! why the anger, why the rage? this blood of ours which we shed for you shall not be blessed otherwise; for freedom is the absolute right of my god-worshiping nation.i have been free since the beginning and forever shall be so. what madman shall put me in chains! i defy the very idea! i'm like the roaring flood; powerful and independent, i'll tear apart mountains, exceed the heavens and still gush out! the lands of the west may be armored with walls of steel, but i have borders guarded by the mighty chest of a believer. recognize your innate strength, my friend! and think: how can this fiery faith ever be killed, by that battered, single-fanged monster you call ""civilization""?my friend! leave not my homeland to the hands of villainous men! render your chest as armor and your body as trench! stop this disgraceful rush! for soon shall come the joyous days of divine promise... who knows? perhaps tomorrow? perhaps even sooner!view not the soil you tread on as mere earth - recognize it! and think about the shroudless thousands who lie so nobly beneath you. you're the noble son of a martyr, take shame, hurt not your ancestor! unhand not, even when you're promised worlds, this paradise of a homeland.what man would not die for this heavenly piece of land? martyrs would gush out should one simply squeeze the soil! martyrs! may god take my life, all my loved ones and possessions from me if he will, but may he not deprive me of my one true homeland for the world. oh glorious god, the sole wish of my pain-stricken heart is that, no heathen's hand should ever touch the bosom of my sacred temples. these adhans, whose shahadahs are the foundations of my religion, may their noble sound last loud and wide over my eternal homeland.for only then, shall my fatigued tombstone, if there is one, prostrate a thousand times in ecstasy, and tears of fiery blood shall flow out of my every wound, and my lifeless body shall gush out from the earth like an eternal spirit, perhaps only then, shall i peacefully ascend and at long last reach the heavens.so ripple and wave like the bright dawning sky, oh thou glorious crescent, so that our every last drop of blood may finally be blessed and worthy! neither you nor my race shall ever be extinguished! for freedom is the absolute right of my ever-free flag; for independence is the absolute right of my god-worshiping nation!",0,Echoes of Sacred Freedom
129,Turkmenistan,"i am ready to give life for our native hearth the spirit of ancestors descendants are famous for. my land is sacred, my flag flies in the world a symbol of the great neutral country flies, the forever great creation of the people the native land, the sovereign state forever, the light and song of the soul, long live and prosper, turkmenistan! my nation is united and in veins of tribes our ancestors' blood, undying flows. storms and misfortunes of times are not dreadful for us, let us increase fame and honour. ",3,Glorious Homeland
130,United Arab Emirates,"live, my country, the unity of our emirates. you have lived for a nation, whose religion is islam, and whose guide is the qur'an. i made you stronger in the name of god, o homeland. my country, my country, my country, my country. may god protect you from the evil through all times.we have vowed to build and work. work sincerely, work sincerely, as long as we live we'll be sincere, sincere.may safety last, and the flag rise, o emirates. symbol of arabness. we all make sacrifices for you, we supply you with our blood. we sacrifice for you with our souls, o homeland.",3,Glorious Homeland
131,Uzbekistan,"my country, sunny and free, salvation to your people, you are a warmhearted companion to the friends flourish eternally with knowledge and invention, may your fame shine as long as the world exists!   these golden valleys — dear uzbekistan, manly spirit of ancestors is companion to you! when the great power of people became exuberant you are the country that amazes the world!   belief of generous uzbek does not die out, free, young children are a strong wing for you! the torch of independence, guardian of peace, just motherland be eternally prosperous!   these golden valleys — dear uzbekistan, manly spirit of ancestors is companion to you! when the great power of people became exuberant you are the country that amazes the world!",3,Glorious Homeland
132,Vietnam,"soldiers of vietnam, marching onward united in determination to save the nation, our steps resound on the long and arduous road. our flag, red with the blood of victory, bears the spirit of the country. the distant rumbling of guns mingles with our marching song. the path to glory is built by the bodies of our foes. overcoming all hardships, together we build our resistance bases. ceaselessly for the people's cause let us struggle, let us hasten to the battlefield! onward! all together advancing! for one eternal vietnam. ",0,Echoes of Sacred Freedom
133,Yemen,"repeat, o world, my song. echo it over and over again. remember, through my joy, each martyr. clothe him with the shining mantles of our festivals. repeat, o world, my song. my unity, oh marvelous song which fills my heart, you are the promise of all to come, my banner, oh cloth nailed from every sun raised forever, on every peak my nation, give me strength, oh source of strength and save me for you, the best of nations. in faith and love i am part of mankind, and i shall march first among the arabs. and my heart beat shall remain that of a yemenite. no foreigner shall ever hold dominion over yemen.",0,Echoes of Sacred Freedom
134,Algeria,"we swear by the lightning that destroys, by the streams of generous blood being shed, by the bright flags that wave, flying proudly on the high djebels, that we are in revolt, whether to live or to die, we are determined that algeria should live, so be our witness -be our witness -be our witness! we are soldiers in revolt for truth and we have fought for our independence. when we spoke, nobody listened to us, so we have taken the noise of gunpowder as our rhythm and the sound of machine guns as our melody, we are determined that algeria should live, so be our witness -be our witness -be our witness! from our heroes we shall make an army come to being, from our dead we shall build up a glory, our spirits shall ascend to immortality and on our shoulders we shall raise the standard. to the nation's liberation front we have sworn an oath, we are determined that algeria should live, so be our witness -be our witness -be our witness! the cry of the fatherland sounds from the battlefields. listen to it and answer the call! let it be written with the blood of martyrs and be read to future generations. oh, glory, we have held out our hand to you, we are determined that algeria should live, so be our witness -be our witness -be our witness! ",2,A Child’s Voice
135,Angola,"o fatherland, we shall never forget the heroes of the fourth of february. o fatherland, we salute your sons who died for our independence. we honour the past and our history as by our work we build the new man. (repeat previous two lines) forward, angola! revolution through the power of the people! a united country, freedom, one people, one nation! let us raise our liberated voices to the glory of the peoples of africa. we shall march, angolan fighters, in solidarity with oppressed peoples. we shall fight proudly for peace along with the progressive forces of the world. ",3,Glorious Homeland
136,Benin,"long ago, at their call, our ancestors, without weakness, succeeded with courage, passion, full of happiness to deliver at the price of the blood of vivid battles. hasten yourselves as well, builders of the present stronger in unity, toiling everyday, for posterity, build tirelessly.  children of benin, arise! sound the cry of freedom sing at the first light of dawn; children of benin, arise!   when the wind blows anger and hatred everywhere. people of benin, be proud, and of calm soul, trusting in the future, behold your flag! in the green you will read the hope of renewal, in your ancestors red evokes courage; the yellow is a portent of the richest treasures.    your sunny mountains, your palm trees, your greenery dear benin, your brightness is everywhere. your soil offers each person the richest of fruits. benin, may your united sons from henceforth in a brotherly spirit share the hope of seeing you happy in abundance forever. ",0,Echoes of Sacred Freedom
137,Botswana,"blessed be this noble land, gift to us from god's strong hand, heritage our fathers left to us, may it always be at peace. awake, awake, o men, awake! and women close beside them stand, together we'll work and serve this land, this happy land! word of beauty and of fame, the name botswana to us came. through our unity and harmony, we'll remain at peace as one. ",3,Glorious Homeland
138,Burkina Faso,"against the humiliating bondage of a thousand years rapacity came from afar to subjugate them for a hundred years. against the cynical malice in the shape of neo-colonialism and its petty local servants. many gave in and certain others resisted. but the frustrations, the successes, the sweat, the blood have fortified our courageous people and fertilized its heroic struggle. and one single night has drawn together the history of an entire people, and one single night has launched its triumphal march. towards the horizon of good fortune. one single night has brought together our people with all the peoples of the world, in the acquisition of liberty and progress. motherland or death, we shall conquer. nourished in the lively source of the revolution, the volunteers for liberty and peace with their nocturnal and beneficial energies of the 4th of august had not only hand arms, but also and above all the flame in their hearts lawfully to free faso forever from the fetters of those who here and there were polluting the sacred soul of independence and sovereignty. and seated henceforth in rediscovered dignity, love and honour partnered with humanity, the people of burkina sing a victory hymn to the glory of the work of liberation and emancipation. down with exploitation of man by man! forward for the good of every man by all men of today and tomorrow, by every man here and always! popular revolution our nourishing sap. undying motherhood of progress in the face of man. eternal hearth of agreed democracy, where at last national identity has the right of freedom. where injustice has lost its place forever, and where from the hands of builders of a glorious world everywhere the harvests of patriotic vows ripen and suns of boundless joy shine.",3,Glorious Homeland
139,Burundi,"our burundi, gentle country, take your place in the concert of nations, acceding to independence with honourable intentions. wounded and bruised, you have remained master of yourself. when the hour came, you arose, lifting yourself proudly into the ranks of free peoples. receive, then, the congratulations of the nations and the homage of your sons and daughters. may your name ring out through the universe. our burundi, sacred heritage from our forefathers, recognized as worthy of self-government, with your courage you also have a sense of honour. sing the glory of liberty conquered again. our burundi, worthy of our tenderest love, we vow to your noble service our hands and hearts and lives. may god, who gave you to us, keep you for us to venerate, under the shield of unity, in peace, joy and prosperity.",3,Glorious Homeland
140,Cameroon,"o cameroon, thou cradle of our fathers, holy shrine where in our midst they now repose, their tears and blood and sweat thy soil did water, on thy hills and valleys once their tillage rose. dear fatherland, thy worth no tongue can tell! how can we ever pay thy due? thy welfare we will win in toil and love and peace, will be to thy name ever true! land of promise, land of glory! thou, of life and joy, our only store! thine be honour, thine devotion, and deep endearment, for evermore. from shari, from where the mungo meanders from along the banks of lowly boumba stream, muster thy sons in union close around thee, mighty as the buea mountain be their team; instil in them the love of gentle ways, regret for errors of the past; foster, for mother africa, a loyalty that true shall remain to the last.",3,Glorious Homeland
141,Cape Verde,"sing, brother sing, my brother for liberty is a hymn and man the certainty. with dignity, bury the seed in the dust of the naked island at the escarpment of life hope is as big as the sea which embraces us sentinel of the oceans and winds persevering between the stars and the atlantic intone the chant of liberty. sing, brother sing, my brother for liberty is a hymn and man the certainty.",0,Echoes of Sacred Freedom
142,Central African Republic,"oh! central africa, cradle of the bantu! take up again your right to respect, to life! long subjugated, long scorned by all, but, from today, breaking tyranny's hold. through work, order and dignity you reconquer your rights, your unity, and to take this new step the voice of our ancestors call us. to work! in order and dignity, in the respect for rights and in unity, breaking poverty and tyranny, holding high the flag of the fatherland.",2,A Child’s Voice
143,Chad,"people of chad, arise and to work! you have conquered the soil and won your rights; your freedom will be born of your courage. lift up your eyes, the future is yours. o my country, may god protect you, may your neighbors admire your children. joyful, peaceful, advance as you sing, faithful to your fathers who are watching you. people of chad, arise and to work! you have conquered the soil and won your rights; your freedom will be born of your courage. lift up your eyes, the future is yours.",3,Glorious Homeland
144,Comoros,"the flag is flying, announcing complete independence; the nation rises up because of the faith we have in this our comoria. let us always have devotion to love our great islands. we comorians are of one blood, we comorians are of one faith. on these islands we were born, these islands brought us up. may god always help us; let us always have the firm resolve to love our fatherland, love our religion and the world. the flag is flying. from the sixth of july the nation rises up; our islands are lined up. mayotte and anjouan, moheli and n'gazidja, let us always have devotion to love our great islands.",0,Echoes of Sacred Freedom
145,Democratic Republic of Congo,"on this day the sun rises and our congo stands resplendent. a long night is ended, a great happiness has come. let us all, with wild joyfulness, sing the song of freedom. arise, congolese, proud every man, proclaim the unity of our nation. let us forget what divides us and become more united than ever. let us live our motto: unity, work, progress. from the forest to the bush, from the bush to the ocean, one people, one soul, one heart, ardent and proud. let us all fight, every one of us, for our old black country. and if we have to die, what does it really matter? our children everywhere will be able to say how triumph comes through battle, and in the smallest village sing beneath our three colours.",0,Echoes of Sacred Freedom
146,Djibouti,"arise with strength; for we have raised our flag, the flag which has cost us dear with extremes of thirst and pain. our flag, whose colours are the everlasting green of the earth, the blue of the sky, and white, the colour of peace; and the centre the red star of blood. oh flag of ours, what a glorious sight!",0,Echoes of Sacred Freedom
147,Egypt,"my homeland, my homeland, my homeland, my love and my heart are for thee. my homeland, my homeland, my homeland, my love and my heart are for thee. egypt! o mother of all lands, my hope and my ambition, how can one count the blessings of the nile for mankind? egypt! most precious jewel, shining on the brow of eternity! o my homeland, be for ever free, safe from every foe! egypt! noble are thy children, loyal, and guardians of thy soil. in war and peace we give our lives for thy sake.",1,O Motherly Nature
148,Equatorial Guinea,"let us walk the path of our great happiness. in brotherhood, without separation, freedom sing! after two centuries of being subjected under colonial rule, in fraternal union, without discrimination, freedom sing! let us shout live guinea, defend our freedom. sing always free guinea, and always retain the unit. let us shout live guinea, defend our freedom. sing always free guinea, and always preserve national independence and we preserve and conserve national independence. ",0,Echoes of Sacred Freedom
149,Eritrea,"eritrea, eritrea, eritrea, her nemesis destroyed while wailing, her sacrifices vindicated by freedom. forever firm in her principles, her name became a synonym of tenacity, eritrea, the pride of the oppressed, is a testament that truth prevails. eritrea, eritrea, has taken her rightful place in the world. the supreme dedication that brought us freedom, will serve to rebuild her and develop her, we shall honor her with progress, it is our legacy to crown her. eritrea, eritrea, has taken her rightful place in the world.",0,Echoes of Sacred Freedom
